brand,product_count,amazon_count,flipkart_count,platform_presence
,16,5,11,both
POCO,14,2,12,both
Samsung Galaxy,12,11,1,both
MOTOROLA,12,0,12,flipkart
ASUS Vivobook,11,7,4,both
HP,9,5,4,both
Acer Aspire,9,1,8,both
realme,8,2,6,both
boAt Rockerz,8,2,6,both
VW,7,7,0,amazon
Samsung,6,3,3,both
F FERONS,6,0,6,flipkart
REDMI,5,3,2,both
Lenovo,5,2,3,both
iQOO,5,5,0,amazon
GOBOULT Fluid,5,1,4,both
Lenovo IdeaPad,5,3,2,both
vivo,5,1,4,both
Dot &,5,3,2,both
Boat Rockerz,4,4,0,amazon
Sony,4,4,0,amazon
OnePlus Nord,4,1,3,both
MOTOROLA Edge,4,0,4,flipkart
Foxsky,4,0,4,flipkart
realme TechLife,4,0,4,flipkart
ASUS Expertbook,3,0,3,flipkart
ASUS Chromebook,3,0,3,flipkart
realme NARZO,3,3,0,amazon
Dr Sheth’s,3,0,3,flipkart
Foxtale Nourishing,3,1,2,both
PTron Studio,3,0,3,flipkart
TCL,3,1,2,both
Xiaomi,3,3,0,amazon
pTron Studio,2,2,0,amazon
ASUS ExpertBook,2,0,2,flipkart
Lenovo Chromebook,2,0,2,flipkart
Infinix,2,0,2,flipkart
HP Victus,2,1,1,both
HP Professional,2,2,0,amazon
JBL Tune,2,2,0,amazon
Lakmé Peach,2,0,2,flipkart
MYOZ,2,0,2,flipkart
Mamaearth Daily,2,0,2,flipkart
Glamour World,2,0,2,flipkart
FRONY,2,0,2,flipkart
Ai+ Pulse,2,0,2,flipkart
RUSHITA,2,0,2,flipkart
Philips,2,2,0,amazon
Dr Reddy's,2,0,2,flipkart
Dell,2,2,0,amazon
Acer Smartchoice,2,2,0,amazon
OPPO,2,1,1,both
Uniboom_Optima Series,2,2,0,amazon
XIAOMI,2,0,2,flipkart
SRE Premium,2,0,2,flipkart
Ruby Perl,2,0,2,flipkart
Techpunch,2,0,2,flipkart
Ridoy soothing,2,0,2,flipkart
Sansui,2,0,2,flipkart
Minimalist Barrier,2,2,0,amazon
Plum Green,2,1,1,both
ZEBRONICS Zeb-Thunder,2,0,2,flipkart
VW OptimaX,2,0,2,flipkart
chapo,2,0,2,flipkart
Zebronics Thunder,2,2,0,amazon
ZEBRONICS Thunder,2,1,1,both
BESTON,2,0,2,flipkart
Samsung Crystal,2,0,2,flipkart
kridhrish Metal,1,0,1,flipkart
CeraVe Moisturizers,1,1,0,amazon
CeraVe HA,1,1,0,amazon
Episoft AC,1,1,0,amazon
Enacfire,1,0,1,flipkart
FEEDNIX cut,1,0,1,flipkart
Casecade Folding,1,0,1,flipkart
Element Multi,1,0,1,flipkart
Eagean,1,0,1,flipkart
ramakrishnavan Perfect,1,0,1,flipkart
Acer,1,1,0,amazon
Youth Face,1,0,1,flipkart
ASUS TUF,1,1,0,amazon
Akai AKAI,1,0,1,flipkart
AQUASOFT DAY,1,0,1,flipkart
Dr Sheth's,1,1,0,amazon
Ceramide &,1,1,0,amazon
Certified,1,1,0,amazon
Chemist at,1,0,1,flipkart
Coocaa,1,0,1,flipkart
Clairbell,1,0,1,flipkart
Cookzella Oil,1,0,1,flipkart
D-players,1,0,1,flipkart
Dermatouch Ceramide,1,0,1,flipkart
DAOME,1,0,1,flipkart
Deconstruct Oil-Free,1,1,0,amazon
Foxtale Brightening,1,0,1,flipkart
Foxtale Oil-Balancing,1,1,0,amazon
Foxtale Super,1,0,1,flipkart
Flipkart SmartBuy,1,0,1,flipkart
HOPPUP,1,0,1,flipkart
Joy Honey,1,0,1,flipkart
Joy Pure,1,0,1,flipkart
Faya Ceramic,1,0,1,flipkart
Fixderma Foot,1,0,1,flipkart
I Kall,1,0,1,flipkart
Haier,1,1,0,amazon
HYPHEN,1,0,1,flipkart
Infinix GT,1,0,1,flipkart
HP Smartchoice,1,1,0,amazon
HP OmniBook,1,1,0,amazon
HP OMEN,1,0,1,flipkart
HP MSO,1,0,1,flipkart
GENZEE,1,0,1,flipkart
Frontech Earphone,1,0,1,flipkart
Glamveda Korean,1,1,0,amazon
Garnier Fresh,1,1,0,amazon
Livvouge Flour,1,0,1,flipkart
Logitech,1,1,0,amazon
Logitech Zone,1,1,0,amazon
HP Intel,1,0,1,flipkart
Lacto Calamine,1,0,1,flipkart
LUZAX Coconut,1,0,1,flipkart
Lishonn,1,0,1,flipkart
Lava Bold,1,1,0,amazon
Kodak QLED,1,1,0,amazon
Just Herbs,1,0,1,flipkart
EARBUDDY SnapX,1,0,1,flipkart
EBook,1,1,0,amazon
EAGLESQUAD AeroPulse,1,0,1,flipkart
Dynore,1,0,1,flipkart
Emolene,1,1,0,amazon
Excela Oily,1,0,1,flipkart
Apple iPhone,1,0,1,flipkart
Aqualogica Barrier+,1,0,1,flipkart
Digimore,1,0,1,flipkart
Apple,1,1,0,amazon
Deconstruct Vitamin,1,0,1,flipkart
Ying Guns,1,0,1,flipkart
APES Zen,1,0,1,flipkart
ZEBRONICS Bro,1,1,0,amazon
truke Aura,1,0,1,flipkart
AJDK MART,1,0,1,flipkart
sandook Roasting,1,0,1,flipkart
skinclinic STRETCH,1,0,1,flipkart
realme narzo,1,1,0,amazon
Acer One,1,0,1,flipkart
AKANSHA Sukhparash,1,0,1,flipkart
chapo Full,1,0,1,flipkart
Neutriderm Moisturising,1,0,1,flipkart
Neutrogena Hydro,1,1,0,amazon
Noise Two,1,1,0,amazon
NowExp Silicon,1,0,1,flipkart
OGGN Set,1,0,1,flipkart
OMORTEX,1,0,1,flipkart
OMORTEX Combo,1,0,1,flipkart
M Y,1,0,1,flipkart
MISHTINCREATION Multifunctional,1,0,1,flipkart
MONk,1,0,1,flipkart
MSI Modern,1,0,1,flipkart
Mamaearth Night,1,0,1,flipkart
Mamaearth Tea,1,0,1,flipkart
Mamaearth Rice,1,1,0,amazon
