brand,avg_discount_pct,product_count
Spigen Audio,99.0,1
URBANHUDA Premium,89.0,1
F FERONS,88.0,6
LUNATIC CRAFTWORK,88.0,1
Rhydin,88.0,1
ShopVee Air,87.0,1
ABMP Honeycomb,87.0,1
sandook Roasting,87.0,1
EARBUDDY SnapX,86.0,1
LUZAX Coconut,86.0,1
Enacfire,86.0,1
M Y,85.0,1
SRE Premium,85.0,2
Lishonn,84.0,1
FEEDNIX cut,83.0,1
PunnkFunnk Super,83.0,1
SANCORP,83.0,1
Tesla exim,82.0,1
SPACE Vegetable,82.0,1
OGGN Set,82.0,1
Casecade Folding,81.0,1
AJDK MART,81.0,1
PunnkFunnk,81.0,1
Treadmill SPORTS,80.0,1
Treadmill Sport,80.0,1
MasterGogo Bullets,80.0,1
Flipkart SmartBuy,80.0,1
EAGLESQUAD AeroPulse,79.0,1
Mass Pro,79.0,1
Bekner,78.0,1
DAOME,78.0,1
chapo Full,78.0,1
VEWIKZY Face,78.0,1
MYOZ,77.0,2
ZORIADA,77.0,1
APES Zen,77.0,1
Eagean,76.0,1
chapo,76.0,2
Worricow,76.0,1
TTDC,76.0,1
Pyarana Straws,76.0,1
Unique Impex,76.0,1
pTron Studio,75.05,2
Ovista,75.0,1
CEUTA Vegetable,75.0,1
RUSHITA,75.0,2
Ruby Perl,74.0,2
OMORTEX Combo,74.0,1
PRIVATE CAVE,74.0,1
Dynore,74.0,1
Youth Face,74.0,1
PTron Studio,73.67,3
OMORTEX,73.0,1
Uniboom_Optima Series,72.9,1
Cookzella Oil,72.0,1
VEDRID,72.0,1
Vellora Creation,72.0,1
Skyplex Chopper,72.0,1
OMORTEX masher,72.0,1
Ying Guns,71.0,1
MISHTINCREATION Multifunctional,71.0,1
Techpunch COMFORTABLE,70.0,1
Techpunch,70.0,2
Minimalist Vitamin,70.0,1
kridhrish Metal,70.0,1
GOBOULT Fluid,68.5,4
Unix Wireless,67.0,1
VIJAY EXPORT,67.0,1
Aric Chicken,67.0,1
BUFONA High,66.0,1
Faya Ceramic,66.0,1
Noise Two,66.0,1
MarQ,66.0,1
BLACK+DECKER,65.0,1
AMB Basin,64.0,1
HOPPUP,64.0,1
VW Nano,64.0,1
Balaji flame,64.0,1
boAt Bassheads,63.9,1
Acer,63.6,1
Bush,63.0,1
Wireless Bluetooth,62.6,1
VEKIN HIGH,62.0,1
ramakrishnavan Perfect,62.0,1
Vrukie Aluminum,62.0,1
VEKIN Headphone,62.0,1
Zebronics Thunder,61.5,2
YAROH,61.0,1
NANMOKU Primium,61.0,1
YAROH Premium,61.0,1
Rosebee Collapsible,60.0,1
Clairbell,60.0,1
SONY,60.0,1
MONk,59.0,1
Sony ZX,58.9,1
Boat Rockerz,58.7,4
NIVEA Body,58.0,1
ACNE OC,58.0,1
coocaa,57.3,1
Livvouge Flour,56.0,1
ZEBRONICS Thunder,55.55,2
Garnier Fresh,55.0,1
Joy Skin,55.0,1
FRONY,55.0,2
boAt Rockerz,54.69,8
GENZEE,54.0,1
Portronics Muffs,54.0,1
realme TechLife,54.0,4
Techobucks Brand,54.0,1
Zebronics Jet,53.2,1
VW,53.11,7
truke Aura,52.0,1
ZEBRONICS Zeb-Duke,52.0,1
,51.33,9
Veloxi EXIM,51.0,1
Boat Bassheads,50.1,1
BIOTIQUE Morning,50.0,1
Digimore,50.0,1
CeraVe Moisturizers,50.0,1
Kodak QLED,50.0,1
Foxtale Nourishing,50.0,1
Minimalist Marula,50.0,1
Ovista WIRED,50.0,1
BESTON,48.5,2
Thomson Phoenix,48.0,1
Foxsky,48.0,4
Lenovo,47.4,2
iQOO,46.4,2
ASUS Expertbook,46.0,3
realme,45.93,7
VW OptimaX,45.5,2
NIVEA Cocoa,45.0,1
HP Professional,44.15,2
AKANSHA Sukhparash,44.0,1
ZIRAK Premium,44.0,1
MOTOROLA,43.25,12
PERSONAL TOUCH,43.0,1
JBL Tune,42.5,2
Sony,41.9,4
Joy Pure,41.0,1
UNDERATED Glow,41.0,1
Onida,41.0,1
D-players,41.0,1
ZEBRONICS Zeb-Thunder,41.0,2
Thomson,41.0,1
Xiaomi,40.77,3
Techobucks,40.0,1
Sony ULT,40.0,1
Acer Smartchoice,39.85,2
TCL,39.25,2
skinclinic STRETCH,39.0,1
Coocaa,38.0,1
Element Multi,38.0,1
AKHAND ENTERPRISE,37.0,1
Infinix,37.0,2
SpinBot,36.0,1
Joy Honey,36.0,1
Acer Aspire,35.5,9
Lakmé Peach,35.0,1
ASUS ExpertBook,35.0,2
XIAOMI FX,35.0,1
Vu,33.8,1
Lenovo Chromebook,33.5,2
Marshall Major,33.3,1
Simple Kind,33.0,1
Primebook,32.0,1
Haier,31.0,1
MSI Modern,31.0,1
Missha TIME,30.0,1
POCO,26.5,10
Pilgrim,26.0,1
Logitech Zone,25.6,1
Lenovo IdeaPad,24.54,5
Skinbless Cream,23.0,1
Samsung Vision,23.0,1
MOTOROLA Edge,22.5,4
OPPO,22.1,2
Logitech,22.0,1
ASUS Chromebook,22.0,3
LG,21.7,1
Simple Water,21.0,1
Philips,20.95,2
Dermatouch Ceramide,19.0,1
Samsung Crystal,18.5,2
Samsung,18.5,4
HP,18.42,8
Acer One,18.0,1
Excela Oily,18.0,1
Dell,17.35,2
OnePlus Nord,17.33,3
HP OMEN,17.0,1
HP OmniBook,15.1,1
AQUASOFT DAY,15.0,1
Dr Reddy's,15.0,1
I Kall,14.0,1
Aqualogica Barrier+,14.0,1
vivo,14.0,3
Glamour World,14.0,2
REDMI,13.0,2
Dot &,13.0,2
Foxtale Super,13.0,1
Samsung Galaxy,12.4,3
ASUS Vivobook,12.33,11
Infinix GT,12.0,1
ASUS TUF,11.9,1
HP Victus,11.1,2
Mamaearth Tea,11.0,1
Mamaearth Ubtan,11.0,1
Just Herbs,10.0,1
Mamaearth Night,9.0,1
Fixderma Foot,9.0,1
Dr Sheth’s,9.0,1
Apple,8.5,1
HP Intel,7.0,1
Deconstruct Vitamin,5.0,1
Minimalist,5.0,1
Re'equil CERAMIDE,5.0,1
Re'equil OIL,5.0,1
Mamaearth Daily,5.0,1
Ai+ Pulse,4.0,2
Apple iPhone,3.0,1
HP MSO,1.0,1
Neutriderm Moisturising,0.2,1
