brand,avg_price,min_price,max_price,product_count
ABMP Honeycomb,99.0,99.0,99.0,1
ACNE OC,419.0,419.0,419.0,1
AJDK MART,180.0,180.0,180.0,1
AKANSHA Sukhparash,141.0,141.0,141.0,1
AKHAND ENTERPRISE,180.0,180.0,180.0,1
AMB Basin,566.0,566.0,566.0,1
APES Zen,900.0,900.0,900.0,1
AQUASOFT DAY,706.0,706.0,706.0,1
ASUS Chromebook,18656.67,16990.0,20990.0,3
ASUS ExpertBook,63490.0,46990.0,79990.0,2
ASUS Expertbook,59656.67,42990.0,76990.0,3
ASUS TUF,73990.0,73990.0,73990.0,1
ASUS Vivobook,60981.82,50990.0,69990.0,11
Acer,23299.0,23299.0,23299.0,1
Acer Aspire,42762.0,29990.0,55990.0,9
Acer One,39990.0,39990.0,39990.0,1
Acer Smartchoice,38990.0,35990.0,41990.0,2
Ai+ Pulse,10499.0,10499.0,10499.0,2
Akai AKAI,12980.0,12980.0,12980.0,1
Apple,63990.0,63990.0,63990.0,1
Apple iPhone,57900.0,57900.0,57900.0,1
Aqualogica Barrier+,428.0,428.0,428.0,1
Aric Chicken,129.0,129.0,129.0,1
BELLAVITA DATE,225.0,225.0,225.0,1
BESTON,19999.0,13999.0,25999.0,2
BIOTIQUE Morning,425.0,425.0,425.0,1
BLACK+DECKER,16820.0,16820.0,16820.0,1
BUFONA High,336.0,336.0,336.0,1
Balaji flame,178.0,178.0,178.0,1
Bekner,152.0,152.0,152.0,1
Boat Bassheads,299.0,299.0,299.0,1
Boat Rockerz,2124.0,1299.0,2999.0,4
BrowseBook,14790.0,14790.0,14790.0,1
Bush,7999.0,7999.0,7999.0,1
CEUTA Vegetable,248.0,248.0,248.0,1
Casecade Folding,364.0,364.0,364.0,1
CeraVe HA,899.0,899.0,899.0,1
CeraVe Moisturizers,405.0,405.0,405.0,1
Ceramide &,299.0,299.0,299.0,1
Certified,29990.0,29990.0,29990.0,1
Chemist at,359.0,359.0,359.0,1
Clairbell,713.0,713.0,713.0,1
Coocaa,8599.0,8599.0,8599.0,1
Cookzella Oil,109.0,109.0,109.0,1
D-players,262.0,262.0,262.0,1
DAOME,216.0,216.0,216.0,1
Deconstruct Oil-Free,321.0,321.0,321.0,1
Deconstruct Vitamin,379.0,379.0,379.0,1
Dell,57740.0,46990.0,68490.0,2
Dermatouch Ceramide,161.0,161.0,161.0,1
Digimore,1999.0,1999.0,1999.0,1
Dot &,390.2,335.0,426.0,5
Dr Reddy's,830.0,541.0,1119.0,2
Dr Sheth's,310.0,310.0,310.0,1
Dr Sheth’s,330.33,271.0,403.0,3
Dynore,101.0,101.0,101.0,1
EAGLESQUAD AeroPulse,599.0,599.0,599.0,1
EARBUDDY SnapX,276.0,276.0,276.0,1
EBook,14356.0,14356.0,14356.0,1
Eagean,257.0,257.0,257.0,1
Element Multi,239.0,239.0,239.0,1
Emolene,336.21,336.21,336.21,1
Enacfire,268.0,268.0,268.0,1
Episoft AC,610.0,610.0,610.0,1
Excela Oily,500.0,500.0,500.0,1
F FERONS,297.67,297.0,298.0,6
FEEDNIX cut,135.0,135.0,135.0,1
FRONY,485.5,473.0,498.0,2
Faya Ceramic,260.0,260.0,260.0,1
Fixderma Foot,221.0,221.0,221.0,1
Flipkart SmartBuy,175.0,175.0,175.0,1
Foxsky,10424.0,6399.0,13999.0,4
Foxtale Brightening,307.0,307.0,307.0,1
Foxtale Nourishing,282.67,196.0,408.0,3
Foxtale Oil-Balancing,193.0,193.0,193.0,1
Foxtale Super,430.0,430.0,430.0,1
Frontech Earphone,239.0,239.0,239.0,1
GENZEE,595.0,595.0,595.0,1
GOBOULT Fluid,2139.0,1999.0,2399.0,5
Garnier Fresh,218.0,218.0,218.0,1
Glamour World,232.5,222.0,243.0,2
Glamveda Korean,940.0,940.0,940.0,1
HOPPUP,704.0,704.0,704.0,1
HP,51149.22,1785.0,79990.0,9
HP Intel,71990.0,71990.0,71990.0,1
HP MSO,49990.0,49990.0,49990.0,1
HP OMEN,134990.0,134990.0,134990.0,1
HP OmniBook,70990.0,70990.0,70990.0,1
HP Professional,53245.0,46300.0,60190.0,2
HP Smartchoice,86990.0,86990.0,86990.0,1
HP Victus,70490.0,67990.0,72990.0,2
HYPHEN,395.0,395.0,395.0,1
Haier,63490.0,63490.0,63490.0,1
I Kall,7699.0,7699.0,7699.0,1
Infinix,26044.5,9099.0,42990.0,2
Infinix GT,21999.0,21999.0,21999.0,1
JBL Tune,4249.0,2999.0,5499.0,2
Joy Honey,179.0,179.0,179.0,1
Joy Pure,163.0,163.0,163.0,1
Joy Skin,252.0,252.0,252.0,1
Just Herbs,625.0,625.0,625.0,1
Kodak QLED,9499.0,9499.0,9499.0,1
LG,35990.0,35990.0,35990.0,1
LUNATIC CRAFTWORK,117.0,117.0,117.0,1
LUZAX Coconut,135.0,135.0,135.0,1
Lacto Calamine,375.0,375.0,375.0,1
