brand,avg_rating,product_count
RoyEnterprise Kitchen,5.0,1
TCL TCL,5.0,1
Apple,4.8,1
Akai AKAI,4.7,1
AQUASOFT DAY,4.7,1
CeraVe HA,4.7,1
VSK,4.6,1
Apple iPhone,4.6,1
ASUS ExpertBook,4.6,2
PRIVATE CAVE,4.6,1
Techobucks,4.6,1
BELLAVITA DATE,4.5,1
HP OmniBook,4.5,1
HP OMEN,4.5,1
NIVEA Cocoa,4.5,1
OnePlus,4.5,1
Faya Ceramic,4.5,1
AJDK MART,4.5,1
BIOTIQUE Morning,4.4,1
Aqualogica Barrier+,4.4,1
Neutrogena Hydro,4.4,1
NowExp Silicon,4.4,1
Parasoft Moisturizing,4.4,1
Rosebee Collapsible,4.4,1
Lakmé Peach,4.4,2
M Y,4.4,1
MSI Modern,4.4,1
Dermatouch Ceramide,4.4,1
Neutriderm Moisturising,4.4,1
NIVEA Body,4.4,1
LUZAX Coconut,4.4,1
Joy Skin,4.4,1
Foxtale Brightening,4.4,1
Foxtale Super,4.4,1
Joy Honey,4.4,1
Infinix GT,4.4,1
kridhrish Metal,4.4,1
Dr Reddy's,4.4,2
Excela Oily,4.4,1
coocaa,4.4,1
MOTOROLA Edge,4.38,4
vivo,4.36,5
MYOZ,4.35,2
ASUS Expertbook,4.33,3
realme TechLife,4.32,4
OnePlus Nord,4.32,4
Lenovo IdeaPad,4.32,5
Fixderma Foot,4.3,1
Foxtale Oil-Balancing,4.3,1
Dynore,4.3,1
AMB Basin,4.3,1
Episoft AC,4.3,1
HP Intel,4.3,1
Minimalist,4.3,1
Glamour World,4.3,2
HYPHEN,4.3,1
Joy Pure,4.3,1
Marshall Major,4.3,1
Mass Pro,4.3,1
Lishonn,4.3,1
Lacto Calamine,4.3,1
Moiz Daily,4.3,1
Onida,4.3,1
Plum,4.3,1
Digimore,4.3,1
CeraVe Moisturizers,4.3,1
Deconstruct Oil-Free,4.3,1
Ai+ Pulse,4.3,2
AKANSHA Sukhparash,4.3,1
DAOME,4.3,1
Portronics Muffs,4.3,1
Primebook,4.3,1
Pyarana Straws,4.3,1
Vu,4.3,1
Sony ULT,4.3,1
Balaji flame,4.3,1
Spigen Audio,4.3,1
Pond's Super,4.3,1
Ridoy soothing,4.3,1
Simple Water,4.3,1
Samsung Crystal,4.3,2
Simple Hydrating,4.3,1
Simple Kind,4.3,1
RUSHITA,4.3,1
RE' EQUIL,4.3,1
Chemist at,4.3,1
Rhydin,4.3,1
Pilgrim,4.3,1
Pilgrim Retinol,4.3,1
Re'equil CERAMIDE,4.3,1
ASUS Vivobook,4.29,11
Dot &,4.28,5
Sony,4.28,4
MOTOROLA,4.28,12
iQOO,4.28,5
,4.27,15
Uniboom_Optima Series,4.25,2
Dr Sheth’s,4.23,3
realme NARZO,4.23,3
realme,4.21,8
Skinbless Cream,4.2,1
ASUS TUF,4.2,1
boAt Bassheads,4.2,1
Minimalist Marula,4.2,1
Mamaearth Rice,4.2,1
Mamaearth Night,4.2,1
MarQ,4.2,1
Mamaearth Tea,4.2,1
Element Multi,4.2,1
HP MSO,4.2,1
Garnier Fresh,4.2,1
Infinix,4.2,2
I Kall,4.2,1
Minimalist Barrier,4.2,2
cotaryl Cream,4.2,1
iFFALCON,4.2,1
Dr Sheth's,4.2,1
Minimalist Vitamin,4.2,1
Mamaearth Ubtan,4.2,1
OnePlus Bullets,4.2,1
OGGN Set,4.2,1
Philips,4.2,2
Re'equil OIL,4.2,1
Plum Green,4.2,2
Pilgrim Korean,4.2,1
Vitamin C,4.2,1
VW OptimaX,4.2,2
XIAOMI,4.2,2
Vrukie Aluminum,4.2,1
VEWIKZY Face,4.2,1
Bekner,4.2,1
Thomson Phoenix,4.2,1
APES Zen,4.2,1
SpinBot,4.2,1
Casecade Folding,4.2,1
Coocaa,4.2,1
Ying Guns,4.2,1
Foxtale Nourishing,4.17,3
Xiaomi,4.13,3
Boat Rockerz,4.12,4
SANCORP,4.1,1
