product_id,source,product_name,brand,category,current_price,price_zscore
126,flipkart,Missha TIME REVOLUTION NIGHT REPAIR AMPOULE CREAM 5X (50ML),Missha TIME,moisturizer,3003.0,7.93
302,amazon,"Sony ULT Wear WH-ULT900N Noise Cancellation Wireless Bluetooth Over Ear Headphones with Massive Bass, Up to 50Hrs Battery-Black",Sony ULT,headphones,14989.0,6.06
22,flipkart,Unique Impex cake decorating items - cake making materials combo set with blender Kitchen Tool Set,Unique Impex,kitchen_tools,690.0,4.57
205,flipkart,"MOTOROLA 218 cm (85 inch) Ultra HD (4K) Mini LED Smart Google TV 2026 Edition with QD Mini LED, 220 Lo...",MOTOROLA,smart_tv,114999.0,4.39
453,amazon,"iQOO 15R (Triumph Silver, 12GB RAM, 512GB Storage) Snapdragon 8 Gen 5 Processor India’s Slimmest Smartphone in 7600mAh Battery* Segment's Most Stable 144FPS Gaming*",iQOO,smartphones,61999.0,4.03
303,amazon,Marshall Major IV Wireless Bluetooth On Ear Headphone with Mic (Black),Marshall Major,headphones,9999.0,3.83
345,flipkart,HP OMEN AI AMD Ryzen AI 7 Octa Core AI 7 350 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA Ge...,HP OMEN,laptops,134990.0,3.74
433,flipkart,"Apple iPhone 15 (Black, 128 GB)",Apple iPhone,smartphones,57900.0,3.65
447,amazon,OnePlus 13 Smarter with OnePlus AI Lifetime Display Warranty 12GB RAM 256GB Storage Black Eclipse Official Smartphone for BGMS 2025,OnePlus,smartphones,57998.0,3.65
25,flipkart,Ying Guns EZ642-Meat+Long +Large Combo Kitchen Tool Set,Ying Guns,kitchen_tools,574.0,3.51
298,amazon,"Logitech Zone Vibe 100 Lightweight Wireless Over-Ear Headphones with Noise-Cancelling Microphone, Advanced Multipoint Bluetooth Headset, Works with Teams, Google Meet, Zoom, Mac/PC - Offwhite",Logitech Zone,headphones,9295.0,3.51
8,flipkart,AMB Basin Colander with Lids for Vegetables Fruit Rice Food Washing Kitchen Tool Set,AMB Basin,kitchen_tools,566.0,3.43
311,amazon,"Sony WH-CH720N Active Noise Cancellation Wireless Bluetooth Over Ear Headphones with Mic, Adaptive Sound Control, Quick Charge, Up to 35Hrs Battery, Customized EQ- Blue : Model : YY2966",Sony,headphones,9020.0,3.39
214,amazon,Sony 164 cm (65 inches) BRAVIA 2M2 Series 4K Ultra HD Smart LED Google TV K-65S25BM2,Sony,smart_tv,82990.0,2.84
392,amazon,"Lenovo IdeaPad Slim 3 Intel Core Ultra 5 322 Next-Gen AI PC (16GB RAM/512GB SSD/15.3"" (38.8cm)/WUXGA IPS/Copilot+ PC/Windows 11/MSO 365 Basic+Office 2024/Backlit Keyboard/Grey/1.6Kg), 83UR009QIN",Lenovo IdeaPad,laptops,109990.0,2.62
458,amazon,OnePlus Nord 6 8GB+256GB Fresh Mint Snapdragon 8s Gen 4 Segment's First Stable 165FPS Gaming Segment's Largest 9000mAh Battery Most Complete IP Rating Personalized AI,OnePlus Nord,smartphones,42999.0,2.24
202,flipkart,"MOTOROLA 190 cm (75 inch) Ultra HD (4K) Mini LED Smart Google TV 2026 Edition with QD Mini LED, 180 Lo...",MOTOROLA,smart_tv,69999.0,2.21
113,flipkart,Dr. Reddy's Venusia Max Intensive Moisturizing lotion with 4D Hyaluronic Acid,Dr Reddy's,moisturizer,1119.0,2.19
