brand,mean_price,std_price,product_count,coefficient_of_variation
ABMP Honeycomb,99.0,0.0,1,0.0
ACNE OC,419.0,0.0,1,0.0
AJDK MART,180.0,0.0,1,0.0
AKANSHA Sukhparash,141.0,0.0,1,0.0
AKHAND ENTERPRISE,180.0,0.0,1,0.0
AMB Basin,566.0,0.0,1,0.0
APES Zen,900.0,0.0,1,0.0
AQUASOFT DAY,706.0,0.0,1,0.0
ASUS Chromebook,18656.67,2081.67,3,0.112
ASUS ExpertBook,63490.0,23334.52,2,0.368
ASUS Expertbook,59656.67,17009.8,3,0.285
ASUS TUF,73990.0,0.0,1,0.0
ASUS Vivobook,60981.82,6613.98,11,0.108
Acer,23299.0,0.0,1,0.0
Acer Aspire,42762.0,9326.35,9,0.218
Acer One,39990.0,0.0,1,0.0
Acer Smartchoice,38990.0,4242.64,2,0.109
Ai+ Pulse,10499.0,0.0,2,0.0
Akai AKAI,12980.0,0.0,1,0.0
Apple,63990.0,0.0,1,0.0
Apple iPhone,57900.0,0.0,1,0.0
Aqualogica Barrier+,428.0,0.0,1,0.0
Aric Chicken,129.0,0.0,1,0.0
BELLAVITA DATE,225.0,0.0,1,0.0
BESTON,19999.0,8485.28,2,0.424
BIOTIQUE Morning,425.0,0.0,1,0.0
BLACK+DECKER,16820.0,0.0,1,0.0
BUFONA High,336.0,0.0,1,0.0
Balaji flame,178.0,0.0,1,0.0
Bekner,152.0,0.0,1,0.0
Boat Bassheads,299.0,0.0,1,0.0
Boat Rockerz,2124.0,953.5,4,0.449
BrowseBook,14790.0,0.0,1,0.0
Bush,7999.0,0.0,1,0.0
CEUTA Vegetable,248.0,0.0,1,0.0
Casecade Folding,364.0,0.0,1,0.0
CeraVe HA,899.0,0.0,1,0.0
CeraVe Moisturizers,405.0,0.0,1,0.0
Ceramide &,299.0,0.0,1,0.0
Certified,29990.0,0.0,1,0.0
Chemist at,359.0,0.0,1,0.0
Clairbell,713.0,0.0,1,0.0
Coocaa,8599.0,0.0,1,0.0
Cookzella Oil,109.0,0.0,1,0.0
D-players,262.0,0.0,1,0.0
DAOME,216.0,0.0,1,0.0
Deconstruct Oil-Free,321.0,0.0,1,0.0
Deconstruct Vitamin,379.0,0.0,1,0.0
Dell,57740.0,15202.8,2,0.263
Dermatouch Ceramide,161.0,0.0,1,0.0
