pid,source,product_name,brand,category,current_price,mrp,discount_pct,currency,product_url,rating,review_count,availability,scraped_at,external_id,asin,reason
,amazon,VW 80 cm (32 inches) Spectra Series HD Ready Smart QLED Android TV VW32AQ3,VW,smart_tv,,,,INR,https://www.amazon.in/inches-Spectra-Ready-Android-VW32AQ3/dp/B0GX5BF141/ref=sr_1_4?dib=eyJ2IjoiMSJ9.iiAml0ZBkfw81HQl9wMu_FVSX5cqgaHrYaAP7IMez1Z5VJ4BCo3_od9zZr2pwG8Q2epJ33C049VwDfsF0eCwT_dTU9oNS0WHWI61imXCmQmCGgJ8ItJVXmJqgt1FgOTz399HEUwhAE3N05iYPXTWUC5-IY3dJgi6Uf-kL8FfdF_yWFsRuxILg6WrDcDceTfSBjaEvPlGRp2SbKpPcKKNDJ6lB9oS2mQ7Az6xzf4HvXM.DlQcSSssdJqZhOt2fKgxPC70bdEIE6j9nBUGfAVmj6o&dib_tag=se&keywords=smart+tv&qid=1782227044&sr=8-4,4.1,15700.0,In Stock,2026-06-23 15:04:05.091615+00:00,B0GX5BF141,B0GX5BF141,Invalid price; 
,amazon,VW 80 cm (32 inches) Frameless Series HD Ready QLED TV VW32MAX,VW,smart_tv,,,,INR,https://www.amazon.in/inches-Frameless-Ready-QLED-VW32MAX/dp/B0GXK5K633/ref=sr_1_19?dib=eyJ2IjoiMSJ9.iiAml0ZBkfw81HQl9wMu_FVSX5cqgaHrYaAP7IMez1Z5VJ4BCo3_od9zZr2pwG8Q2epJ33C049VwDfsF0eCwT_dTU9oNS0WHWI61imXCmQmCGgJ8ItJVXmJqgt1FgOTz399HEUwhAE3N05iYPXTWUC5-IY3dJgi6Uf-kL8FfdF_yWFsRuxILg6WrDcDceTfSBjaEvPlGRp2SbKpPcKKNDJ6lB9oS2mQ7Az6xzf4HvXM.DlQcSSssdJqZhOt2fKgxPC70bdEIE6j9nBUGfAVmj6o&dib_tag=se&keywords=smart+tv&qid=1782227044&sr=8-19,3.7,21.0,In Stock,2026-06-23 15:04:05.150880+00:00,B0GXK5K633,B0GXK5K633,Invalid price; 
,amazon,VW 100 cm (40 inches) Frameless Series HD Ready QLED TV VW40S1,VW,smart_tv,,,,INR,https://www.amazon.in/inches-Frameless-Ready-QLED-VW40S1/dp/B0GXKC3ZXH/ref=sr_1_22?dib=eyJ2IjoiMSJ9.vrdYEgpnXPESJetJDfOkS7K6yEt6EFBAyj3h1msjTf06kXWewIdkRi3SGrJgZWIynY2Ryb9ape3RsYE-0hCJKvqh3ZamE5TbS56J4SnwQhr77zdA97W55DHqBE_oslbqBToTLrUIIOLur6TjUoCt65pJunfx65d0XnocrdfEc0K6XzDkQ_XzNX8Uz1GYU_FGAVb6mQME6SWwNQN7Wm3PkenloXfQZsmC1vQzLSw-4S8.Xf0DMzvcCtbMeL9UuAhLGTVrC5bKEiFZIP-PC3dv-r4&dib_tag=se&keywords=smart+tv&qid=1782227048,3.0,6.0,In Stock,2026-06-23 15:04:08.987064+00:00,B0GXKC3ZXH,B0GXKC3ZXH,Invalid price; 
,amazon,LG 80 cms (32 inches) LB650 AI Series HD Smart webOS VA LED TV 32LB650BPLA,LG,smart_tv,,,,INR,https://www.amazon.in/LG-inches-LB650-Smart-32LB650BPLA/dp/B0GTZ27TH9/ref=sr_1_34?dib=eyJ2IjoiMSJ9.vrdYEgpnXPESJetJDfOkS7K6yEt6EFBAyj3h1msjTf06kXWewIdkRi3SGrJgZWIynY2Ryb9ape3RsYE-0hCJKvqh3ZamE5TbS56J4SnwQhr77zdA97W55DHqBE_oslbqBToTLrUIIOLur6TjUoCt65pJunfx65d0XnocrdfEc0K6XzDkQ_XzNX8Uz1GYU_FGAVb6mQME6SWwNQN7Wm3PkenloXfQZsmC1vQzLSw-4S8.Xf0DMzvcCtbMeL9UuAhLGTVrC5bKEiFZIP-PC3dv-r4&dib_tag=se&keywords=smart+tv&qid=1782227048,3.5,3.0,In Stock,2026-06-23 15:04:08.998186+00:00,B0GTZ27TH9,B0GTZ27TH9,Invalid price; 
MSCGBWPZNJMBGKAQ,flipkart,"Lakmé Peach Pro Ceramide Moisturizer, For Dry, Normal & Sensitive Skin",Lakmé Peach,moisturizer,,,,INR,https://www.flipkart.com/lakm-peach-pro-ceramide-moisturizer-dry-normal-sensitive-skin/p/itma6577f1d05a7e?pid=MSCGBWPZNJMBGKAQ&q=moisturizer+skincare&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_59&otracker=search&fm=organic&iid=5b1f498a-1ab2-44e4-818e-099d1793db4b.MSCGBWPZNJMBGKAQ.SEARCH&ppt=None&ppn=None&ssid=2w6fms9geo0000001782227094879&qH=f2519e600cc19f09&ov_redirect=true&ov_redirect=true,4.4,43138.0,In Stock,2026-06-23 15:04:54.478147+00:00,MSCGBWPZNJMBGKAQ,,Invalid price; 
MSCFH8CGQZEWMHZS,flipkart,Simple Kind To Skin Hydrating Light Moisturiser,Simple Kind,moisturizer,,,,INR,https://www.flipkart.com/simple-kind-skin-hydrating-light-moisturiser/p/itmfh8cg4hrfggyz?pid=MSCFH8CGQZEWMHZS&q=moisturizer+skincare&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_77&otracker=search&fm=organic&iid=5b1f498a-1ab2-44e4-818e-099d1793db4b.MSCFH8CGQZEWMHZS.SEARCH&ppt=None&ppn=None&ssid=2w6fms9geo0000001782227094879&qH=f2519e600cc19f09&ov_redirect=true&ov_redirect=true,4.4,10068.0,In Stock,2026-06-23 15:04:54.486270+00:00,MSCFH8CGQZEWMHZS,,Invalid price; 
MSCGHQZEGZSFHE9P,flipkart,Cetaphil Moisturising Lotion 250ml,Cetaphil Moisturising,moisturizer,,,,INR,https://www.flipkart.com/cetaphil-moisturising-lotion-250ml/p/itm37edaceb5a6c3?pid=MSCGHQZEGZSFHE9P&q=moisturizer+skincare&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_80&otracker=search&fm=organic&iid=5b1f498a-1ab2-44e4-818e-099d1793db4b.MSCGHQZEGZSFHE9P.SEARCH&ppt=None&ppn=None&ssid=2w6fms9geo0000001782227094879&qH=f2519e600cc19f09&ov_redirect=true&ov_redirect=true,4.4,53396.0,In Stock,2026-06-23 15:04:54.487683+00:00,MSCGHQZEGZSFHE9P,,Invalid price; 
,amazon,CLAW SM50 Professional Studio Monitoring DJ Wired Over Ear Headphones with 2 Detachable Cables (2.8m Coiled Cable & 1.2m Straight Cable with Mic and in-line Controls) (SM50 Black),CLAW,headphones,1990.0,165.83,-1100.0,INR,https://www.amazon.in/CLAW-SM50-Professional-Headphones-detachable/dp/B07VTQ9QKC/ref=sr_1_36?dib=eyJ2IjoiMSJ9.RfUtXxdCrQdLS-m_JENIuE679yy--ipYOFxKiM0hOFLQMHo_qn4Sz_aSPribvBOCCvu9ToA9j_w1pD_59JdibxUkpSg5o5b01l32vIZO76oOotVLGqL0tLrqi4ryUuw0wr1yvo4gd-UYDBOtvKZ_amyHE6uq0l0tRqXq8hIkuiaioezjTHCMz7U7vk7xfgtja5sXc6Rm4SviQGeF0q5xBrmx67LFKzepRoiDTzrEJPM.btGFhwoiEstOK9a0s3DnSezqOVTH7R7-hZgQFdb_H_M&dib_tag=se&keywords=headphones&qid=1782227020,4.3,2200.0,In Stock,2026-06-23 15:03:40.997262+00:00,B07VTQ9QKC,B07VTQ9QKC,MRP lower than current price; 
,amazon,"Vaseline Gluta-Hya Dewy Radiance Lotion for Face & Body | Gives Brighter Skin | Glutathione & Niacinamide Infused Moisturizer, 200ml",Vaseline Gluta-Hya,moisturizer,285.0,142.5,-100.0,INR,https://www.amazon.in/Vaseline-Gluta-Hya-Radiance-GlutaGlow-Brighter/dp/B0BXSDJQNR/ref=sr_1_7_in_f3_0o_fs_mod_primary_alm?dib=eyJ2IjoiMSJ9.p9DGuZPmuvb18vU2Di-JARGQMsR1b8XTMSKRteCOrCvwb8RuAmTcVSAg0cCFBZuk9w5-sKE6HdK-rMNAha3Fb-fwmaBp-buLy7oGsc7vc46zDAlUJkP2SUIJH1gMWHu5ssrp4s8d5m1D3Bq7CdT6f9HXpwtfmiRo0veF-fa2QSi8Hm9F3eYBS5KHlvEFlMMfGywZJ35W_hVNRMCkyoBS40xN5qvSWynGu_BRN-2wmfh9uzON2323EzxGQb1PrrF5O87wOzUppnEzz7kX-jijcLS8K0gv09e9ZbjBmsf6Rdw.OrM3-DZV_H0xNVLjvlkcyxrBpIyYcRnn8oB1NQMsSgA&dib_tag=se&keywords=moisturizer+skincare&qid=1782227071&sbo=m6DjfpMzMLDmL8pSMKX8hw%3D%3D&sr=8-7,4.3,9000.0,In Stock,2026-06-23 15:04:33.490782+00:00,B0BXSDJQNR,B0BXSDJQNR,MRP lower than current price; 
,amazon,"The Face Shop Rice & Ceramide Face Cream 150ml | Barrier Repair Moisturizer for Dry Skin, Intense Hydration & Strengthening | 12Hr Moisture Lock | Korean Skincare",,moisturizer,891.0,594.0,-50.0,INR,https://www.amazon.in/Face-Shop-Moisturizer-Hydration-Strengthening/dp/B07DSC6CWP/ref=sr_1_16?dib=eyJ2IjoiMSJ9.p9DGuZPmuvb18vU2Di-JARGQMsR1b8XTMSKRteCOrCvwb8RuAmTcVSAg0cCFBZuk9w5-sKE6HdK-rMNAha3Fb-fwmaBp-buLy7oGsc7vc46zDAlUJkP2SUIJH1gMWHu5ssrp4s8d5m1D3Bq7CdT6f9HXpwtfmiRo0veF-fa2QSi8Hm9F3eYBS5KHlvEFlMMfGywZJ35W_hVNRMCkyoBS40xN5qvSWynGu_BRN-2wmfh9uzON2323EzxGQb1PrrF5O87wOzUppnEzz7kX-jijcLS8K0gv09e9ZbjBmsf6Rdw.OrM3-DZV_H0xNVLjvlkcyxrBpIyYcRnn8oB1NQMsSgA&dib_tag=se&keywords=moisturizer+skincare&qid=1782227071&sr=8-16,4.4,4300.0,In Stock,2026-06-23 15:04:33.535569+00:00,B07DSC6CWP,B07DSC6CWP,MRP lower than current price; 
